매입처명,상품명,현재고,품절예상월,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06
기타,후디스면장갑4호(여성용),3400.0,2027-04,3160.0,2830.0,2500.0,2170.0,1930.0,1600.0,1030.0,790.0,340.0,-290.0,-620.0,-950.0
기타,"후디스미니(L)노(10P) ""바코드작업""",0.0,2026-07,-50.0,-100.0,-140.0,-200.0,-240.0,-280.0,-340.0,-380.0,-430.0,-490.0,-520.0,-550.0
기타,"후디스미니(S)노(10P) ""바코드작업""",0.0,2026-07,-43.0,-103.0,-146.0,-189.0,-232.0,-292.0,-352.0,-395.0,-449.0,-509.0,-542.0,-575.0
기타,후디스실장갑2P,0.0,2026-07,-138.0,-298.0,-390.0,-482.0,-635.0,-742.0,-977.0,-1161.0,-1299.0,-1529.0,-1667.0,-1810.0
기타,후디스에어폼(L)적,120.0,2026-07,-330.0,-406.0,-545.0,-748.0,-813.0,-1042.0,-1181.0,-1310.0,-1442.0,-1802.0,-1872.0,-1910.0
기타,후디스에어폼(L)파,2340.0,2026-08,1062.0,-432.0,-1858.0,-3335.0,-4517.0,-5899.0,-7761.0,-8705.0,-10358.0,-12210.0,-13729.0,-15380.0
기타,후디스에어폼(M)파,600.0,2026-08,72.0,-730.0,-1560.0,-2422.0,-3074.0,-3737.0,-4762.0,-5087.0,-5727.0,-6755.0,-7882.0,-8770.0
기타,후디스에어폼(S)파,420.0,2026-08,57.0,-255.0,-501.0,-874.0,-1345.0,-1680.0,-1894.0,-2085.0,-2467.0,-2758.0,-3134.0,-3421.0
기타,후디스엠보싱(노랑)여성용(하계),0.0,2026-07,-404.0,-497.0,-630.0,-640.0,-790.0,-997.0,-1114.0,-1174.0,-1312.0,-1432.0,-1589.0,-1605.0
기타,후디스엠보싱(백색)하계,0.0,2026-07,-300.0,-380.0,-680.0,-980.0,-1280.0,-1580.0,-1880.0,-2180.0,-2480.0,-2780.0,-3080.0,-3230.0
기타,후디스엠보싱(적색)여성용(하계),370.0,2026-09,225.0,80.0,-65.0,-130.0,-224.0,-357.0,-502.0,-647.0,-683.0,-719.0,-1003.0,-1219.0
기타,후디스엠보싱장갑2P,0.0,2026-07,-2.0,-4.0,-6.0,-8.0,-10.0,-23.0,-24.0,-25.0,-27.0,-29.0,-31.0,-34.0
기타,후디스장갑(M)핑왼손1개,1270.0,2026-11,979.0,767.0,409.0,275.0,-3.0,-404.0,-856.0,-1366.0,-1552.0,-2294.0,-2980.0,-3209.0
기타,후디스쿨토시(민트),0.0,2026-07,-2.0,-4.0,-6.0,-8.0,-10.0,-12.0,-14.0,-16.0,-18.0,-19.0,-20.0,
다정(손사랑예식),손사랑T/C예식(1000입),134990.0,2026-11,113879.0,86053.0,56659.0,29800.0,-6575.0,-42357.0,-82985.0,-107737.0,-131227.0,-166431.0,-193667.0,-222144.0
다정(오런100),오런#100(L),5108.0,2027-01,4556.0,3772.0,2903.0,2110.0,1213.0,433.0,-460.0,-1185.0,-1723.0,-2548.0,-3090.0,-3622.0
다정(오런100),오런#100(XL),20792.0,2027-02,18651.0,16433.0,13395.0,10741.0,8536.0,4534.0,840.0,-869.0,-3164.0,-5228.0,-6767.0,-8824.0
다정(오런100),오런#100(XXL),8368.0,2027-04,7790.0,6931.0,6117.0,4956.0,4337.0,2957.0,1978.0,1110.0,367.0,-613.0,-1190.0,-1744.0
대광기모(킹스톤),대광기모고무장갑,28390.0,2026-11,28092.0,27580.0,25363.0,13590.0,-11688.0,-19669.0,-21617.0,-22907.0,-23628.0,-24164.0,-24725.0,-25294.0
대성산업(신규),대광고무장갑M(300입)적,4070.0,2026-08,1244.0,-2713.0,-8587.0,-12969.0,-17871.0,-22587.0,-27494.0,-30520.0,-35974.0,-41156.0,-46107.0,-52406.0
대성산업(신규),두말표고무장갑,970.0,2026-07,-1960.0,-6400.0,-12797.0,-17165.0,-21484.0,-28184.0,-34470.0,-38960.0,-43301.0,-48961.0,-53645.0,-58308.0
대성산업(신규),두말표고무장갑(오른손),1250.0,2026-08,410.0,-173.0,-1142.0,-1982.0,-2565.0,-3211.0,-3986.0,-4632.0,-5215.0,-5861.0,-6507.0,-7540.0
대성산업(신규),두말표고무장갑(왼손),1250.0,2026-09,770.0,290.0,-550.0,-982.0,-1330.0,-1810.0,-2290.0,-2530.0,-2950.0,-3430.0,-3790.0,-4330.0
대성산업(신규),코스모스,0.0,2026-07,-224.0,-449.0,-699.0,-949.0,-1199.0,-1424.0,-1648.0,-1898.0,-2148.0,-2372.0,-2622.0,-2847.0
동래장갑(신규),스카지,0.0,2026-07,-434.0,-668.0,-1180.0,-1956.0,-2511.0,-2893.0,-3394.0,-3863.0,-4262.0,-5220.0,-5550.0,-5836.0
동진장갑,실장갑45g(10P),-90.0,2026-07,-1902.0,-3569.0,-5178.0,-6775.0,-7990.0,-9315.0,-10775.0,-12168.0,-13737.0,-15254.0,-16468.0,-17762.0
동진장갑,오런실장갑35죽포(10P),0.0,2026-07,-4920.0,-10743.0,-16284.0,-21614.0,-26253.0,-30280.0,-34442.0,-38472.0,-42290.0,-45370.0,-50767.0,-54562.0
말레이시아(하트알레가),나비라텍스위생장갑(L),0.0,2026-07,-2845.0,-5845.0,-8690.0,-11690.0,-14690.0,-17690.0,-20690.0,-23690.0,-26511.0,-29511.0,-32356.0,-35356.0
말레이시아(하트알레가),나비라텍스위생장갑(M),0.0,2026-07,-4100.0,-7100.0,-10100.0,-13100.0,-16100.0,-20200.0,-23200.0,-27300.0,-30300.0,-33300.0,-37400.0,-41500.0
말레이시아(하트알레가),나비라텍스위생장갑(S),0.0,2026-07,-3000.0,-6000.0,-9000.0,-12000.0,-14850.0,-17850.0,-20850.0,-23700.0,-26700.0,-29550.0,-32550.0,-35400.0
말레이시아(하트알레가),오런 바로톡메디장갑125매(L),17776.0,2026-11,16490.0,15204.0,13918.0,12632.0,-108951.0,-233366.0,-364200.0,-545159.0,-740467.0,-1275604.0,-1447312.0,-1448598.0
말레이시아(하트알레가),오런 바로톡메디장갑125매(M),45648.0,2026-12,43848.0,42048.0,40248.0,38448.0,36648.0,-272332.0,-603581.0,-1107582.0,-1625416.0,-3014939.0,-3606328.0,-3915308.0
말레이시아(하트알레가),오런 바로톡메디장갑125매(S),17872.0,2026-11,16612.0,15352.0,14092.0,12832.0,-4756269.0,-4757529.0,-9961445.0,-17415056.0,-25692925.0,-47627766.0,-57021030.0,-61941371.0
